Month,Month_Name,TempMax_C,Rain_mm,Sunlight_h,Month_Label,Date,Nutrient,Ulva lactuca,Hypnea musciformis,Caulerpa racemosa
2018-NOV,NOV,30.0,0.03,16.29,NOV,2018-11-01,2.771426727911757,7.904583505756888,17.966339318045073,5.240943438182084
2018-DEC,DEC,27.24,2.08,13.08,DEC,2018-12-01,3.5203009489110424,14.446783262742873,31.41374657570204,5.289816429601272
2019-JAN,JAN,27.42,0.0,15.51,JAN,2019-01-01,1.8900466011060912,13.560279943168096,28.875446013114374,5.10464741622248
2019-FEB,FEB,35.1,0.42,18.94,FEB,2019-02-01,1.9545624180177517,12.707905018410028,26.432168952340437,4.974185300797055
2019-MAR,MAR,37.1,0.44,20.68,MAR,2019-03-01,2.64017496054259,11.968692960048784,24.265773781373763,4.916391265193313
2019-APR,APR,39.68,1.13,22.86,APR,2019-04-01,3.9140800826863984,11.17243994009667,22.135484181413915,4.9583653753365144
2019-MAY,MAY,37.59,8.46,22.05,MAY,2019-05-01,2.1469499540000423,10.517265697761504,20.323848670248697,4.823494383381684
2019-JUN,JUN,38.02,4.75,16.86,JUN,2019-06-01,2.994749947027713,10.008328594228749,18.734775434395097,4.806593863914317
2019-JUL,JUL,33.75,9.31,15.74,JUL,2019-07-01,2.202336274218452,9.579013468099582,17.378736532659644,4.771319530125556
2019-AUG,AUG,32.0,10.79,14.33,AUG,2019-08-01,3.267143359619043,9.317788618753701,20.57214193992543,4.9639019521563865
2019-SEP,SEP,31.01,13.76,14.45,SEP,2019-09-01,2.2774558042891555,9.04275321124567,22.69674946808041,4.940913668471811
2019-OCT,OCT,30.81,10.65,16.36,OCT,2019-10-01,3.4274179498864026,8.846386752791489,21.022616301621593,5.110410475231363
2019-NOV,NOV,29.21,0.12,14.8,NOV,2019-11-01,3.7689161848152324,8.617329128172328,20.359488007877363,5.270063592744753
2019-DEC,DEC,25.86,0.07,13.49,DEC,2019-12-01,3.083509391276059,11.939962374552735,31.102305030748486,5.217142253679096
2020-JAN,JAN,29.88,0.25,14.39,JAN,2020-01-01,1.8899863008405067,11.365376435752896,32.33517902293417,5.082782845069634
2020-FEB,FEB,31.27,1.63,15.82,FEB,2020-02-01,1.9585112746335844,10.83002581647876,29.647293943333704,4.998279059530993
2020-MAR,MAR,35.88,1.62,20.74,MAR,2020-03-01,3.462939903482534,10.302214204721533,27.13084295529918,5.089075974748772
2020-APR,APR,37.83,2.12,22.4,APR,2020-04-01,3.5209933702911527,9.764181864774827,24.804954692627383,5.121364299779008
2020-MAY,MAY,38.55,2.77,21.94,MAY,2020-05-01,3.156305710884955,9.297707813055375,22.73285662493629,5.081839237615496
2020-JUN,JUN,36.38,9.83,18.6,JUN,2020-06-01,3.804685587557792,8.86788425965175,20.849461055128888,5.199269619245678
2020-JUL,JUL,32.69,3.95,18.7,JUL,2020-07-01,2.856740207895621,8.674560627530743,19.39905117116213,5.258939799884422
2020-AUG,AUG,31.84,9.82,14.44,AUG,2020-08-01,3.3225179201024684,8.5004196685884,21.54866498000542,5.408074169638519
2020-SEP,SEP,31.88,5.46,18.39,SEP,2020-09-01,2.312958305066868,8.288557516213693,19.982804491154425,5.364847821748718
2020-OCT,OCT,30.7,7.61,14.83,OCT,2020-10-01,2.734488990910977,8.1960094924588,19.468564108298217,5.3722363736011
2020-NOV,NOV,29.67,0.57,15.33,NOV,2020-11-01,2.1232305728721874,8.027417171902563,18.140105519903695,5.256089821530919
2020-DEC,DEC,26.81,0.0,14.92,DEC,2020-12-01,3.6786514754692945,7.8278665671604015,16.919411299951207,5.312706278293216
2021-JAN,JAN,30.08,0.01,14.12,JAN,2021-01-01,1.6452090304204987,7.626447008288066,20.944443515081016,5.132296505217115
2021-FEB,FEB,35.13,0.01,18.9,FEB,2021-02-01,2.260605607398844,7.405615001340956,19.33650263521307,5.04583603266884
2021-MAR,MAR,39.93,0.08,19.63,MAR,2021-03-01,1.9991844553958993,7.050766843560885,17.724637008163665,4.838747941981305
2021-APR,APR,38.55,0.72,21.59,APR,2021-04-01,2.2615344229334267,6.794344503251228,16.340153623917754,4.711827041710495
2021-MAY,MAY,37.99,3.32,21.25,MAY,2021-05-01,2.2792776902235277,6.5807693393946,15.112343931859575,4.611420568657414
2021-JUN,JUN,36.49,4.79,16.51,JUN,2021-06-01,1.7212312551297988,6.363524344862837,13.978678678399145,4.471287562070061
2021-JUL,JUL,32.87,6.73,16.31,JUL,2021-07-01,1.8523105624369065,6.272782359955617,13.067399986054383,4.427188015560579
2021-AUG,AUG,32.92,5.44,18.41,AUG,2021-08-01,3.4281758667148643,6.2915577358828445,12.296780024641281,4.656041799217699
2021-SEP,SEP,30.99,12.56,15.66,SEP,2021-09-01,3.32401544584516,6.38093245282421,11.675688984533762,4.84165328670319
2021-OCT,OCT,31.63,5.29,15.95,OCT,2021-10-01,2.806832073454985,6.461787467104305,11.185960341611402,4.936306046149474
2021-NOV,NOV,28.79,6.12,13.58,NOV,2021-11-01,2.525957307589074,9.433405538471355,22.859119113177577,4.9086728669032444
2021-DEC,DEC,26.81,2.93,12.83,DEC,2021-12-01,3.5091801922477863,17.657696393286514,37.540708410003234,4.976418020332778
2022-JAN,JAN,26.2,1.16,14.89,JAN,2022-01-01,3.665440364437338,16.480039805311005,34.58399117629916,5.040339289653274
2022-FEB,FEB,31.91,0.55,18.87,FEB,2022-02-01,2.8118910790805947,15.543117840882118,31.793267960513166,5.122878069582887
2022-MAR,MAR,36.21,0.0,21.02,MAR,2022-03-01,2.785586096034029,14.564301498358574,29.138377868264993,5.092232846628402
2022-APR,APR,38.93,0.04,22.0,APR,2022-04-01,1.7441802850159598,13.492952802476038,26.54521038414815,4.866773691337579
2022-MAY,MAY,38.69,2.88,21.79,MAY,2022-05-01,2.800170052944527,12.644718473034995,24.33433715069424,4.803251460103598
2022-JUN,JUN,34.72,1.62,16.63,JUN,2022-06-01,1.989957156047863,11.89811114492926,22.360257266095708,4.715417338394709
2022-JUL,JUL,32.3,9.18,15.83,JUL,2022-07-01,3.5054924518850994,11.361262087026466,20.665079861968337,4.947062057219511
2022-AUG,AUG,32.1,8.91,15.14,AUG,2022-08-01,1.685111629335226,10.76522583871919,19.07701955430293,4.83920153995024
2022-SEP,SEP,31.28,8.97,16.64,SEP,2022-09-01,3.093893678388033,10.43348944331854,17.809238623737638,4.975028384717241
2022-OCT,OCT,30.33,6.81,16.79,OCT,2022-10-01,2.568852545896374,10.111507489753174,16.70890671694366,4.985136489577858
2022-NOV,NOV,28.47,0.0,15.85,NOV,2022-11-01,3.3888778463576217,9.79298417723217,15.706880247542669,5.0762919481381505
2022-DEC,DEC,29.71,0.07,14.03,DEC,2022-12-01,1.9664251472150895,9.440952097990138,21.267674309817743,4.965300456628333
2023-JAN,JAN,30.09,0.01,14.08,JAN,2023-01-01,3.002787529358022,9.293532489110753,27.113945546880185,5.041930237065639
2023-FEB,FEB,33.55,0.0,19.78,FEB,2023-02-01,2.5798625466052894,8.99290277059765,24.983704858732732,5.049906947961214
2023-MAR,MAR,34.83,2.44,18.31,MAR,2023-03-01,2.981036422155106,8.736604523201045,23.0317644114561,5.0907943350689715
2023-APR,APR,38.98,2.36,21.59,APR,2023-04-01,3.210582566280392,8.353993461525345,21.118039761869067,5.049523162881276
2023-MAY,MAY,38.94,1.15,21.23,MAY,2023-05-01,2.8667756983581993,8.01882078875286,19.43430169717751,4.970031538548636
2023-JUN,JUN,38.45,5.29,17.88,JUN,2023-06-01,1.613068222276345,7.599634895981085,17.80851381422513,4.747727253589698
2023-JUL,JUL,33.79,7.82,16.52,JUL,2023-07-01,1.686376609199427,7.340074912822144,16.465670083248632,4.63265396889976
2023-AUG,AUG,32.13,5.98,15.46,AUG,2023-08-01,2.396164321360682,7.24952520092885,15.414567950469074,4.6814733301644464
2023-SEP,SEP,31.22,9.7,15.74,SEP,2023-09-01,3.7180318564408164,7.176253976540524,14.406805305615165,4.938827476455822
2023-OCT,OCT,31.5,1.16,17.02,OCT,2023-10-01,1.563547816860238,6.994586170542252,13.43823086043394,4.804154904337763
2023-NOV,NOV,29.53,0.52,14.5,NOV,2023-11-01,2.071995413729056,6.934398257480179,15.923664907020333,4.733925052849073
2023-DEC,DEC,29.1,1.3,13.01,DEC,2023-12-01,3.7313974962249445,14.388525402737688,28.897890572519657,4.921884304381546
2024-JAN,JAN,28.41,0.52,12.54,JAN,2024-01-01,3.2701814444901136,25.882358980971944,47.34563406966524,4.999691453810379
2024-FEB,FEB,33.4,0.34,16.53,FEB,2024-02-01,2.2280728504951046,23.878611873727195,43.14242195452545,4.9564219115492625
2024-MAR,MAR,37.12,1.26,18.75,MAR,2024-03-01,1.6161260317999944,21.904551220425414,39.17737938701611,4.756723864693477
2024-APR,APR,41.08,0.44,21.57,APR,2024-04-01,2.6003812343490034,20.12393486178856,35.605476140640256,4.623701019086997
2024-MAY,MAY,40.83,3.0,21.47,MAY,2024-05-01,1.9621361388138177,18.47085957776645,32.339270698830816,4.43800206699908
2024-JUN,JUN,36.92,5.26,18.2,JUN,2024-06-01,2.313325826908161,17.122877178073,29.546851574529196,4.391818577168859
2024-JUL,JUL,33.07,9.24,13.92,JUL,2024-07-01,3.9672173415012932,15.976598571951312,32.624931186181584,4.711401857530674
2024-AUG,AUG,31.56,7.33,14.81,AUG,2024-08-01,1.7896726488128243,14.947450246840486,30.571885223701912,4.639851950340793
2024-SEP,SEP,31.88,9.89,16.5,SEP,2024-09-01,2.6805373129048733,14.145274967272346,28.165333457462108,4.738468466656109
2024-OCT,OCT,31.89,2.16,16.76,OCT,2024-10-01,1.769728567483261,13.288305404590156,25.846477124149967,4.666279512414018
2024-NOV,NOV,30.55,0.3,14.04,NOV,2024-11-01,1.6924497745719824,12.537269404856165,29.46613417819188,4.5658718753696395
2024-DEC,DEC,29.0,3.35,10.88,DEC,2024-12-01,2.848355604789127,40.32713187929933,65.52554397810002,5.150995320433733
